# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2025-12-08 15:54:00
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Umeå Förskolan Uven;37658;Urban Background;20.2893;63.8208
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;3;1636
#
Start;Slut;PM2.5 (1636)
2015-01-03;2015-01-04;1.07
2015-01-04;2015-01-05;1.79
2015-01-05;2015-01-06;4.39
2015-01-06;2015-01-07;2.61
2015-01-07;2015-01-08;2.03
2015-01-08;2015-01-09;1.61
2015-01-09;2015-01-10;1.69
2015-01-10;2015-01-11;5.57
2015-01-11;2015-01-12;6.49
2015-01-12;2015-01-13;6.80
2015-01-13;2015-01-14;7.25
2015-01-14;2015-01-15;12.9
2015-01-15;2015-01-16;6.22
2015-01-16;2015-01-17;1.61
2015-01-17;2015-01-18;3.52
2015-01-18;2015-01-19;2.12
2015-01-19;2015-01-20;3.75
2015-01-20;2015-01-21;5.13
2015-01-21;2015-01-22;5.35
2015-01-22;2015-01-23;4.32
2015-01-23;2015-01-24;
2015-01-24;2015-01-25;
2015-01-25;2015-01-26;
2015-01-26;2015-01-27;
2015-01-27;2015-01-28;
2015-01-28;2015-01-29;
2015-01-29;2015-01-30;
2015-01-30;2015-01-31;
2015-01-31;2015-02-01;
2015-02-01;2015-02-02;
2015-02-02;2015-02-03;
2015-02-03;2015-02-04;
2015-02-04;2015-02-05;
2015-02-05;2015-02-06;
2015-02-06;2015-02-07;
2015-02-07;2015-02-08;1.85
2015-02-08;2015-02-09;1.92
2015-02-09;2015-02-10;2.52
2015-02-10;2015-02-11;1.38
2015-02-11;2015-02-12;1.54
2015-02-12;2015-02-13;2.45
2015-02-13;2015-02-14;4.48
2015-02-14;2015-02-15;2.74
2015-02-15;2015-02-16;2.27
2015-02-16;2015-02-17;2.54
2015-02-17;2015-02-18;6.15
2015-02-18;2015-02-19;2.41
2015-02-19;2015-02-20;2.65
2015-02-20;2015-02-21;2.30
2015-02-21;2015-02-22;2.41
2015-02-22;2015-02-23;1.98
2015-02-23;2015-02-24;5.21
2015-02-24;2015-02-25;6.18
2015-02-25;2015-02-26;5.53
2015-02-26;2015-02-27;3.54
2015-02-27;2015-02-28;8.25
2015-02-28;2015-03-01;7.04
2015-03-01;2015-03-02;7.25
2015-03-02;2015-03-03;9.56
2015-03-03;2015-03-04;2.43
2015-03-04;2015-03-05;4.05
2015-03-05;2015-03-06;1.81
2015-03-06;2015-03-07;2.40
2015-03-07;2015-03-08;3.86
2015-03-08;2015-03-09;3.59
2015-03-09;2015-03-10;2.56
2015-03-10;2015-03-11;2.87
2015-03-11;2015-03-12;6.96
2015-03-12;2015-03-13;4.52
2015-03-13;2015-03-14;2.96
2015-03-14;2015-03-15;5.28
2015-03-15;2015-03-16;5.88
2015-03-16;2015-03-17;7.27
2015-03-17;2015-03-18;9.81
2015-03-18;2015-03-19;9.54
2015-03-19;2015-03-20;8.69
2015-03-20;2015-03-21;4.99
2015-03-21;2015-03-22;3.70
2015-03-22;2015-03-23;2.85
2015-03-23;2015-03-24;2.30
2015-03-24;2015-03-25;4.77
2015-03-25;2015-03-26;11.3
2015-03-26;2015-03-27;16.9
2015-03-27;2015-03-28;12.1
2015-03-28;2015-03-29;5.75
2015-03-29;2015-03-30;4.30
2015-03-30;2015-03-31;3.25
2015-03-31;2015-04-01;2.39
2015-04-01;2015-04-02;2.59
2015-04-02;2015-04-03;2.92
2015-04-03;2015-04-04;2.96
2015-04-04;2015-04-05;2.50
2015-04-05;2015-04-06;7.98
2015-04-06;2015-04-07;4.06
2015-04-07;2015-04-08;4.19
2015-04-08;2015-04-09;14.3
2015-04-09;2015-04-10;9.90
2015-04-10;2015-04-11;3.77
2015-04-11;2015-04-12;3.27
2015-04-12;2015-04-13;9.92
2015-04-13;2015-04-14;1.51
2015-04-14;2015-04-15;2.29
2015-04-15;2015-04-16;3.61
2015-04-16;2015-04-17;2.16
2015-04-17;2015-04-18;7.50
2015-04-18;2015-04-19;3.85
2015-04-19;2015-04-20;3.34
2015-04-20;2015-04-21;3.30
2015-04-21;2015-04-22;5.08
2015-04-22;2015-04-23;4.21
2015-04-23;2015-04-24;1.92
2015-04-24;2015-04-25;1.89
2015-04-25;2015-04-26;3.92
2015-04-26;2015-04-27;1.94
2015-04-27;2015-04-28;2.43
2015-04-28;2015-04-29;3.90
2015-04-29;2015-04-30;4.53
2015-04-30;2015-05-01;4.91
2015-05-01;2015-05-02;5.48
2015-05-02;2015-05-03;2.76
2015-05-03;2015-05-04;2.23
2015-05-04;2015-05-05;3.08
2015-05-05;2015-05-06;4.19
2015-05-06;2015-05-07;6.89
2015-05-07;2015-05-08;17.1
2015-05-08;2015-05-09;5.59
2015-05-09;2015-05-10;2.94
2015-05-10;2015-05-11;3.32
2015-05-11;2015-05-12;3.57
2015-05-12;2015-05-13;3.68
2015-05-13;2015-05-14;3.23
2015-05-14;2015-05-15;1.47
2015-05-15;2015-05-16;1.45
2015-05-16;2015-05-17;2.16
2015-05-17;2015-05-18;1.98
2015-05-18;2015-05-19;3.25
2015-05-19;2015-05-20;2.70
2015-05-20;2015-05-21;2.79
2015-05-21;2015-05-22;2.52
2015-05-22;2015-05-23;5.30
2015-05-23;2015-05-24;1.90
2015-05-24;2015-05-25;1.56
2015-05-25;2015-05-26;2.45
2015-05-26;2015-05-27;6.24
2015-05-27;2015-05-28;1.89
2015-05-28;2015-05-29;2.74
2015-05-29;2015-05-30;3.45
2015-05-30;2015-05-31;2.76
2015-05-31;2015-06-01;2.85
2015-06-01;2015-06-02;3.34
2015-06-02;2015-06-03;3.83
2015-06-03;2015-06-04;2.67
2015-06-04;2015-06-05;1.87
2015-06-05;2015-06-06;2.00
2015-06-06;2015-06-07;2.99
2015-06-07;2015-06-08;2.87
2015-06-08;2015-06-09;1.92
2015-06-09;2015-06-10;1.67
2015-06-10;2015-06-11;2.36
2015-06-11;2015-06-12;2.72
2015-06-12;2015-06-13;1.73
2015-06-13;2015-06-14;1.43
2015-06-14;2015-06-15;1.79
2015-06-15;2015-06-16;1.54
2015-06-16;2015-06-17;1.50
2015-06-17;2015-06-18;2.12
2015-06-18;2015-06-19;2.56
2015-06-19;2015-06-20;3.21
2015-06-20;2015-06-21;3.64
2015-06-21;2015-06-22;5.08
2015-06-22;2015-06-23;7.25
2015-06-23;2015-06-24;3.70
2015-06-24;2015-06-25;3.30
2015-06-25;2015-06-26;1.85
2015-06-26;2015-06-27;1.92
2015-06-27;2015-06-28;2.09
2015-06-28;2015-06-29;2.92
2015-06-29;2015-06-30;4.81
2015-06-30;2015-07-01;3.08
2015-07-01;2015-07-02;3.05
2015-07-02;2015-07-03;5.26
2015-07-03;2015-07-04;10.8
2015-07-04;2015-07-05;3.05
2015-07-05;2015-07-06;2.07
2015-07-06;2015-07-07;2.79
2015-07-07;2015-07-08;3.63
2015-07-08;2015-07-09;2.85
2015-07-09;2015-07-10;2.39
2015-07-10;2015-07-11;2.78
2015-07-11;2015-07-12;4.84
2015-07-12;2015-07-13;4.37
2015-07-13;2015-07-14;4.53
2015-07-14;2015-07-15;5.57
2015-07-15;2015-07-16;4.24
2015-07-16;2015-07-17;4.50
2015-07-17;2015-07-18;2.67
2015-07-18;2015-07-19;2.56
2015-07-19;2015-07-20;2.07
2015-07-20;2015-07-21;2.34
2015-07-21;2015-07-22;1.81
2015-07-22;2015-07-23;3.05
2015-07-23;2015-07-24;2.81
2015-07-24;2015-07-25;2.76
2015-07-25;2015-07-26;1.72
2015-07-26;2015-07-27;3.12
2015-07-27;2015-07-28;1.96
2015-07-28;2015-07-29;3.45
2015-07-29;2015-07-30;4.21
