﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen;98210;SMHIs stationsnät;10.0

Parameternamn;Beskrivning;Enhet
Vindriktning;medelvärde 10 min, 1 gång/tim;grader
Vindhastighet;medelvärde 10 min, 1 gång/tim;meter per sekund

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;2019-10-31 23:59:59;43.133;59.3417;18.0549

Datum;Tid (UTC);Vindriktning;Kvalitet;Vindhastighet;Kvalitet;;Tidsutsnitt:
2013-01-01;06:00:00;200;G;5.0;G
2013-01-01;12:00:00;250;G;3.0;G
2013-01-01;18:00:00;250;G;3.0;G
2013-01-02;06:00:00;250;G;5.0;G
2013-01-02;12:00:00;250;G;5.0;G
2013-01-02;18:00:00;270;G;3.0;G
2013-01-03;06:00:00;230;G;3.0;G
2013-01-03;12:00:00;230;G;3.0;G
2013-01-03;18:00:00;290;G;5.0;G
2013-01-04;06:00:00;290;G;7.0;G
2013-01-04;12:00:00;320;G;5.0;G
2013-01-04;18:00:00;360;G;7.0;G
2013-01-05;06:00:00;360;G;5.0;G
2013-01-05;12:00:00;320;G;1.0;G
2013-01-05;18:00:00;270;G;1.0;G
2013-01-06;06:00:00;50;G;1.0;G
2013-01-06;12:00:00;50;G;1.0;G
2013-01-06;18:00:00;360;G;1.0;G
2013-01-07;06:00:00;230;G;1.0;G
2013-01-07;12:00:00;200;G;3.0;G
2013-01-07;18:00:00;200;G;1.0;G
2013-01-08;06:00:00;200;G;3.0;G
2013-01-08;12:00:00;270;G;3.0;G
2013-01-08;18:00:00;230;G;1.0;G
2013-01-09;06:00:00;250;G;3.0;G
2013-01-09;12:00:00;270;G;5.0;G
2013-01-09;18:00:00;360;G;3.0;G
2013-01-10;06:00:00;360;G;5.0;G
2013-01-10;12:00:00;20;G;5.0;G
2013-01-10;18:00:00;360;G;7.0;G
2013-01-11;06:00:00;50;G;5.0;G
2013-01-11;12:00:00;50;G;9.0;G
2013-01-11;18:00:00;50;G;7.0;G
2013-01-12;06:00:00;50;G;5.0;G
2013-01-12;12:00:00;360;G;5.0;G
2013-01-12;18:00:00;360;G;3.0;G
2013-01-13;06:00:00;360;G;3.0;G
2013-01-13;12:00:00;250;G;3.0;G
2013-01-13;18:00:00;250;G;5.0;G
2013-01-14;06:00:00;250;G;3.0;G
2013-01-14;12:00:00;270;G;3.0;G
2013-01-14;18:00:00;0;G;0.0;G
2013-01-15;06:00:00;50;G;5.0;G
2013-01-15;12:00:00;50;G;3.0;G
2013-01-15;18:00:00;90;G;3.0;G
2013-01-16;06:00:00;360;G;3.0;G
2013-01-16;12:00:00;360;Y;1.0;Y
2013-01-16;18:00:00;360;G;3.0;G
2013-01-17;06:00:00;20;Y;5.0;Y
2013-01-17;12:00:00;50;G;5.0;G
2013-01-17;18:00:00;360;G;5.0;G
2013-01-18;06:00:00;50;G;5.0;G
2013-01-18;12:00:00;360;G;5.0;G
2013-01-18;18:00:00;360;G;5.0;G
2013-01-19;06:00:00;310;G;1.0;G
2013-01-19;12:00:00;270;G;1.0;G
2013-01-19;18:00:00;270;G;3.0;G
2013-01-20;06:00:00;360;G;5.0;G
2013-01-20;12:00:00;20;G;5.0;G
2013-01-20;18:00:00;360;G;5.0;G
2013-01-21;06:00:00;70;G;5.0;G
2013-01-21;12:00:00;50;G;3.0;G
2013-01-21;18:00:00;50;G;1.0;G
2013-01-22;06:00:00;270;G;3.0;G
2013-01-22;12:00:00;270;G;3.0;G
2013-01-22;18:00:00;270;G;5.0;G
2013-01-23;06:00:00;270;G;1.0;G
2013-01-23;12:00:00;270;G;3.0;G
2013-01-23;18:00:00;270;G;1.0;G
2013-01-24;06:00:00;290;G;3.0;G
2013-01-24;12:00:00;320;G;3.0;G
2013-01-24;18:00:00;340;G;3.0;G
2013-01-25;06:00:00;250;G;3.0;G
2013-01-25;12:00:00;250;G;5.0;G
2013-01-25;18:00:00;230;G;3.0;G
2013-01-26;06:00:00;230;G;3.0;G
2013-01-26;12:00:00;200;G;5.0;G
2013-01-26;18:00:00;200;G;5.0;G
2013-01-27;06:00:00;250;G;5.0;G
2013-01-27;12:00:00;180;G;3.0;G
2013-01-27;18:00:00;230;G;5.0;G
2013-01-28;06:00:00;200;G;5.0;G
2013-01-28;12:00:00;200;G;5.0;G
2013-01-28;18:00:00;230;G;5.0;G
2013-01-29;06:00:00;180;G;3.0;G
2013-01-29;12:00:00;180;G;5.0;G
2013-01-29;18:00:00;160;G;5.0;G
2013-01-30;06:00:00;160;G;5.0;G
2013-01-30;12:00:00;200;G;5.0;G
2013-01-30;18:00:00;200;G;3.0;G
2013-01-31;06:00:00;180;G;5.0;G
2013-01-31;12:00:00;290;G;5.0;G
2013-01-31;18:00:00;320;G;5.0;G
2013-02-01;06:00:00;270;G;3.0;G
2013-02-01;12:00:00;250;G;5.0;G
2013-02-01;18:00:00;230;G;2.0;G
2013-02-02;06:00:00;250;G;3.0;G
2013-02-02;12:00:00;270;G;5.0;G
2013-02-02;18:00:00;320;G;3.0;G
2013-02-03;06:00:00;290;G;3.0;G
2013-02-03;12:00:00;230;G;1.0;G
2013-02-03;18:00:00;180;G;5.0;G
2013-02-04;06:00:00;180;G;5.0;G
2013-02-04;12:00:00;160;G;5.0;G
2013-02-04;18:00:00;160;G;5.0;G
2013-02-05;06:00:00;200;G;5.0;G
2013-02-05;12:00:00;230;G;3.0;G
2013-02-05;18:00:00;180;G;5.0;G
2013-02-06;06:00:00;20;G;1.0;G
2013-02-06;12:00:00;20;G;3.0;G
